parameter_id,period_index,period_label,observed,note
PD-0014,3,t-6,31.5,"logged note: one-time carrier disruption, resolved by the next cycle"
PD-0014,4,t-5,9.3,
PD-0014,5,t-4,8.9,
PD-0014,6,t-3,9.2,
PD-0014,7,t-2,9.2,
PD-0014,8,t-1,9.8,
PD-0014,9,t-0,8.9,
PD-0015,0,t-9,4.7,
PD-0015,1,t-8,5.4,
PD-0015,2,t-7,5.0,
PD-0015,3,t-6,4.9,
PD-0015,4,t-5,4.8,
PD-0015,5,t-4,5.3,
PD-0015,6,t-3,15.9,"logged note: one-time carrier disruption, resolved by the next cycle"
PD-0015,7,t-2,5.2,
PD-0015,8,t-1,5.0,
PD-0015,9,t-0,4.9,
PD-0016,0,t-9,11.9,
PD-0016,1,t-8,11.5,
PD-0016,2,t-7,11.2,
PD-0016,3,t-6,40.7,"logged note: one-time carrier disruption, resolved by the next cycle"
PD-0016,4,t-5,13.0,
PD-0016,5,t-4,11.0,
PD-0016,6,t-3,12.0,
PD-0016,7,t-2,11.6,
PD-0016,8,t-1,13.2,
PD-0016,9,t-0,10.9,
PD-0017,0,t-9,8.2,
PD-0017,1,t-8,7.6,
PD-0017,2,t-7,7.3,
PD-0017,3,t-6,6.8,
PD-0017,4,t-5,6.0,
PD-0017,5,t-4,5.5,
PD-0017,6,t-3,5.0,
PD-0017,7,t-2,4.9,
PD-0017,8,t-1,4.6,
PD-0017,9,t-0,4.1,
PD-0018,0,t-9,4.7,
PD-0018,1,t-8,4.6,
PD-0018,2,t-7,4.2,
PD-0018,3,t-6,4.3,
PD-0018,4,t-5,3.8,
PD-0018,5,t-4,3.8,
PD-0018,6,t-3,3.3,
PD-0018,7,t-2,3.4,
PD-0018,8,t-1,2.8,
PD-0018,9,t-0,2.1,
PD-0019,0,t-9,4.3,
PD-0019,1,t-8,3.9,
PD-0019,2,t-7,3.6,
PD-0019,3,t-6,3.9,
PD-0019,4,t-5,3.0,
PD-0019,5,t-4,2.8,
PD-0019,6,t-3,3.0,
PD-0019,7,t-2,2.7,
PD-0019,8,t-1,2.1,
PD-0019,9,t-0,2.0,
PD-0020,0,t-9,5.2,
PD-0020,1,t-8,5.0,
PD-0020,2,t-7,5.0,
PD-0020,3,t-6,6.0,
PD-0020,4,t-5,6.3,
PD-0020,5,t-4,6.6,
PD-0020,6,t-3,6.0,
PD-0020,7,t-2,6.4,
PD-0020,8,t-1,6.4,
PD-0020,9,t-0,6.8,
PD-0021,0,t-9,248.0,
PD-0021,1,t-8,279.0,
PD-0021,2,t-7,0.0,
PD-0021,3,t-6,98.0,
PD-0021,4,t-5,236.0,
PD-0021,5,t-4,42.0,
PD-0021,6,t-3,165.0,
PD-0021,7,t-2,35.0,
PD-0021,8,t-1,84.0,
PD-0021,9,t-0,185.0,
PD-0022,0,t-9,48.0,
PD-0022,1,t-8,50.0,
PD-0022,2,t-7,40.0,
PD-0022,3,t-6,43.0,
PD-0022,4,t-5,199.0,
PD-0022,5,t-4,117.0,
PD-0022,6,t-3,80.0,
PD-0022,7,t-2,74.0,
PD-0022,8,t-1,69.0,
PD-0022,9,t-0,0.0,
PD-0023,0,t-9,20.0,
PD-0023,1,t-8,91.0,
PD-0023,2,t-7,234.0,
PD-0023,3,t-6,18.0,
PD-0023,4,t-5,0.0,
PD-0023,5,t-4,76.0,
PD-0023,6,t-3,57.0,
PD-0023,7,t-2,128.0,
PD-0023,8,t-1,62.0,
PD-0023,9,t-0,62.0,
PD-0024,0,t-9,127.0,
PD-0024,1,t-8,193.0,
PD-0024,2,t-7,149.0,
PD-0024,3,t-6,174.0,
PD-0024,4,t-5,0.0,
PD-0024,5,t-4,155.0,
PD-0024,6,t-3,38.0,
PD-0024,7,t-2,213.0,
PD-0024,8,t-1,132.0,
PD-0024,9,t-0,150.0,
PD-0025,0,t-9,65.0,
PD-0025,1,t-8,55.0,
PD-0025,2,t-7,68.0,
PD-0025,3,t-6,62.0,
PD-0025,4,t-5,56.0,
PD-0025,5,t-4,73.0,
PD-0025,6,t-3,54.0,
PD-0025,7,t-2,63.0,
PD-0025,8,t-1,68.0,
PD-0025,9,t-0,71.0,
PD-0026,0,t-9,91.0,
PD-0026,1,t-8,61.0,
PD-0026,2,t-7,115.0,
PD-0026,3,t-6,29.0,
PD-0026,4,t-5,71.0,
PD-0026,5,t-4,32.0,
PD-0026,6,t-3,92.0,
PD-0026,7,t-2,53.0,
PD-0026,8,t-1,62.0,
PD-0026,9,t-0,82.0,
PD-0027,0,t-9,0.0,
PD-0027,1,t-8,39.0,
PD-0027,2,t-7,154.0,
PD-0027,3,t-6,74.0,
PD-0027,4,t-5,0.0,
PD-0027,5,t-4,158.0,
PD-0027,6,t-3,47.0,
PD-0027,7,t-2,80.0,
PD-0027,8,t-1,0.0,
PD-0027,9,t-0,122.0,
PD-0028,0,t-9,89.0,
PD-0028,1,t-8,189.0,
PD-0028,2,t-7,117.0,
PD-0028,3,t-6,0.0,
PD-0028,4,t-5,191.0,
PD-0028,5,t-4,11.0,
PD-0028,6,t-3,118.0,
PD-0028,7,t-2,75.0,
PD-0028,8,t-1,110.0,
PD-0028,9,t-0,79.0,
PD-0029,0,t-9,110.0,
PD-0029,1,t-8,139.0,
PD-0029,2,t-7,119.0,
PD-0029,3,t-6,161.0,
PD-0029,4,t-5,178.0,
PD-0029,5,t-4,99.0,
PD-0029,6,t-3,161.0,
PD-0029,7,t-2,142.0,
PD-0029,8,t-1,110.0,
PD-0029,9,t-0,100.0,
PD-0030,0,t-9,93.0,
PD-0030,1,t-8,157.0,
PD-0030,2,t-7,190.0,
PD-0030,3,t-6,135.0,
PD-0030,4,t-5,42.0,
PD-0030,5,t-4,308.0,
PD-0030,6,t-3,133.0,
PD-0030,7,t-2,127.0,
PD-0030,8,t-1,156.0,
PD-0030,9,t-0,230.0,
PD-0031,0,t-9,52.0,
PD-0031,1,t-8,78.0,
PD-0031,2,t-7,39.0,
PD-0031,3,t-6,73.0,
PD-0031,4,t-5,40.0,
PD-0031,5,t-4,46.0,
PD-0031,6,t-3,40.0,
PD-0031,7,t-2,73.0,
PD-0031,8,t-1,73.0,
PD-0031,9,t-0,41.0,
PD-0032,0,t-9,106.0,
PD-0032,1,t-8,102.0,
PD-0032,2,t-7,240.0,
PD-0032,3,t-6,145.0,
PD-0032,4,t-5,94.0,
PD-0032,5,t-4,146.0,
PD-0032,6,t-3,94.0,
PD-0032,7,t-2,108.0,
PD-0032,8,t-1,117.0,
PD-0032,9,t-0,142.0,
PD-0033,0,t-9,139.0,
PD-0033,1,t-8,0.0,
PD-0033,2,t-7,107.0,
PD-0033,3,t-6,97.0,
PD-0033,4,t-5,117.0,
PD-0033,5,t-4,84.0,
PD-0033,6,t-3,354.0,"logged note: one-time promotional demand surge, not repeated"
PD-0033,7,t-2,88.0,
PD-0033,8,t-1,62.0,
PD-0033,9,t-0,100.0,
PD-0034,0,t-9,38.0,
PD-0034,1,t-8,42.0,
PD-0034,2,t-7,45.0,
PD-0034,3,t-6,39.0,
PD-0034,4,t-5,37.0,
PD-0034,5,t-4,151.0,"logged note: one-time promotional demand surge, not repeated"
PD-0034,6,t-3,19.0,
PD-0034,7,t-2,40.0,
PD-0034,8,t-1,17.0,
PD-0034,9,t-0,63.0,
PD-0035,0,t-9,73.0,
PD-0035,1,t-8,44.0,
PD-0035,2,t-7,54.0,
PD-0035,3,t-6,304.0,"logged note: one-time promotional demand surge, not repeated"
PD-0035,4,t-5,161.0,
PD-0035,5,t-4,0.0,
PD-0035,6,t-3,26.0,
PD-0035,7,t-2,65.0,
PD-0035,8,t-1,132.0,
PD-0035,9,t-0,140.0,
PD-0036,0,t-9,139.0,
PD-0036,1,t-8,16.0,
PD-0036,2,t-7,60.0,
PD-0036,3,t-6,78.0,
PD-0036,4,t-5,224.0,"logged note: one-time promotional demand surge, not repeated"
PD-0036,5,t-4,38.0,
PD-0036,6,t-3,115.0,
PD-0036,7,t-2,83.0,
PD-0036,8,t-1,0.0,
PD-0036,9,t-0,18.0,
PD-0037,0,t-9,102.0,
PD-0037,1,t-8,81.0,
PD-0037,2,t-7,30.0,
PD-0037,3,t-6,83.0,
PD-0037,4,t-5,93.0,
PD-0037,5,t-4,43.0,
PD-0037,6,t-3,96.0,
PD-0037,7,t-2,99.0,
PD-0037,8,t-1,97.0,
PD-0037,9,t-0,55.0,
PD-0038,0,t-9,0.0,
PD-0038,1,t-8,58.0,
PD-0038,2,t-7,14.0,
PD-0038,3,t-6,91.0,
PD-0038,4,t-5,168.0,
PD-0038,5,t-4,2.0,
PD-0038,6,t-3,228.0,
PD-0038,7,t-2,96.0,
PD-0038,8,t-1,99.0,
PD-0038,9,t-0,72.0,
PD-0039,0,t-9,162.0,
PD-0039,1,t-8,157.0,
PD-0039,2,t-7,147.0,
PD-0039,3,t-6,170.0,
PD-0039,4,t-5,116.0,
PD-0039,5,t-4,164.0,
PD-0039,6,t-3,157.0,
PD-0039,7,t-2,138.0,
PD-0039,8,t-1,134.0,
PD-0039,9,t-0,165.0,
PD-0040,0,t-9,147.0,
PD-0040,1,t-8,21.0,
PD-0040,2,t-7,176.0,
PD-0040,3,t-6,0.0,
PD-0040,4,t-5,59.0,
PD-0040,5,t-4,132.0,
PD-0040,6,t-3,32.0,
PD-0040,7,t-2,0.0,
PD-0040,8,t-1,79.0,
PD-0040,9,t-0,13.0,
PD-0041,0,t-9,99.7,
PD-0041,1,t-8,99.2,
PD-0041,2,t-7,99.5,
PD-0041,3,t-6,99.7,
PD-0041,4,t-5,100.0,
PD-0041,5,t-4,99.7,
PD-0041,6,t-3,99.8,
PD-0041,7,t-2,100.0,
PD-0041,8,t-1,99.0,
PD-0041,9,t-0,100.0,
PD-0042,0,t-9,100.0,
PD-0042,1,t-8,98.3,
PD-0042,2,t-7,100.0,
PD-0042,3,t-6,100.0,
PD-0042,4,t-5,100.0,
PD-0042,5,t-4,100.0,
PD-0042,6,t-3,99.8,
PD-0042,7,t-2,99.1,
PD-0042,8,t-1,100.0,
PD-0042,9,t-0,99.3,
PD-0043,0,t-9,85.4,
PD-0043,1,t-8,86.4,
PD-0043,2,t-7,86.5,
PD-0043,3,t-6,84.8,
PD-0043,4,t-5,86.9,
PD-0043,5,t-4,83.5,
PD-0043,6,t-3,82.4,
PD-0043,7,t-2,85.6,
PD-0043,8,t-1,87.0,
PD-0043,9,t-0,86.0,
PD-0044,0,t-9,90.3,
PD-0044,1,t-8,89.9,
PD-0044,2,t-7,91.4,
PD-0044,3,t-6,89.5,
PD-0044,4,t-5,90.1,
PD-0044,5,t-4,90.2,
PD-0044,6,t-3,91.4,
PD-0044,7,t-2,89.9,
PD-0044,8,t-1,90.2,
PD-0044,9,t-0,90.9,
PD-0045,0,t-9,97.5,
PD-0045,1,t-8,100.0,
PD-0045,2,t-7,99.5,
PD-0045,3,t-6,98.8,
PD-0045,4,t-5,100.0,
PD-0045,5,t-4,100.0,
PD-0045,6,t-3,100.0,
PD-0045,7,t-2,100.0,
PD-0045,8,t-1,100.0,
PD-0045,9,t-0,98.6,
PD-0046,0,t-9,88.1,
PD-0046,1,t-8,88.7,
PD-0046,2,t-7,89.6,
PD-0046,3,t-6,89.4,
PD-0046,4,t-5,88.2,
PD-0046,5,t-4,89.1,
PD-0046,6,t-3,89.4,
PD-0046,7,t-2,89.3,
PD-0046,8,t-1,88.9,
PD-0046,9,t-0,90.3,
PD-0047,0,t-9,91.5,
PD-0047,1,t-8,90.0,
PD-0047,2,t-7,90.1,
PD-0047,3,t-6,91.9,
PD-0047,4,t-5,90.5,
PD-0047,5,t-4,92.3,
PD-0047,6,t-3,90.5,
PD-0047,7,t-2,92.2,
PD-0047,8,t-1,90.6,
PD-0047,9,t-0,89.9,
PD-0048,0,t-9,98.2,
PD-0048,1,t-8,100.0,
PD-0048,2,t-7,97.3,
PD-0048,3,t-6,98.1,
PD-0048,4,t-5,98.7,
PD-0048,5,t-4,98.5,
PD-0048,6,t-3,99.8,
PD-0048,7,t-2,100.0,
PD-0048,8,t-1,96.5,
PD-0048,9,t-0,98.1,
PD-0049,0,t-9,93.7,
PD-0049,1,t-8,94.2,
PD-0049,2,t-7,95.8,
PD-0049,3,t-6,93.7,
PD-0049,4,t-5,97.0,
PD-0049,5,t-4,95.5,
PD-0049,6,t-3,93.0,
PD-0049,7,t-2,91.9,
PD-0049,8,t-1,92.7,
PD-0049,9,t-0,93.1,
PD-0050,0,t-9,97.1,
PD-0050,1,t-8,97.5,
PD-0050,2,t-7,96.1,
PD-0050,3,t-6,97.1,
PD-0050,4,t-5,96.6,
PD-0050,5,t-4,96.1,
PD-0050,6,t-3,95.3,
PD-0050,7,t-2,95.4,
PD-0050,8,t-1,97.0,
PD-0050,9,t-0,96.8,
PD-0051,0,t-9,97.1,
PD-0051,1,t-8,97.4,
PD-0051,2,t-7,99.0,
PD-0051,3,t-6,97.8,
PD-0051,4,t-5,97.8,
PD-0051,5,t-4,98.2,
PD-0051,6,t-3,96.9,
PD-0051,7,t-2,98.8,
PD-0051,8,t-1,97.8,
PD-0051,9,t-0,97.6,
PD-0052,0,t-9,95.0,
PD-0052,1,t-8,94.3,
PD-0052,2,t-7,94.9,
PD-0052,3,t-6,96.4,
PD-0052,4,t-5,92.8,
PD-0052,5,t-4,93.3,
PD-0052,6,t-3,94.5,
PD-0052,7,t-2,95.1,
PD-0052,8,t-1,92.9,
PD-0052,9,t-0,96.5,
PD-0053,0,t-9,90.2,
PD-0053,1,t-8,92.4,
PD-0053,2,t-7,92.0,
PD-0053,3,t-6,92.8,
PD-0053,4,t-5,91.8,
PD-0053,5,t-4,91.4,
PD-0053,6,t-3,61.3,"logged note: one-time platform outage, resolved same day"
PD-0053,7,t-2,92.6,
PD-0053,8,t-1,92.7,
PD-0053,9,t-0,90.6,
PD-0054,0,t-9,97.4,
PD-0054,1,t-8,95.7,
PD-0054,2,t-7,97.9,
PD-0054,3,t-6,95.6,
PD-0054,4,t-5,95.8,
PD-0054,5,t-4,73.3,"logged note: one-time platform outage, resolved same day"
PD-0054,6,t-3,97.0,
PD-0054,7,t-2,97.5,
PD-0054,8,t-1,96.7,
PD-0054,9,t-0,96.5,
PD-0055,0,t-9,91.4,
PD-0055,1,t-8,93.6,
PD-0055,2,t-7,91.1,
PD-0055,3,t-6,91.1,
PD-0055,4,t-5,62.8,"logged note: one-time platform outage, resolved same day"
PD-0055,5,t-4,92.6,
PD-0055,6,t-3,92.4,
PD-0055,7,t-2,93.0,
PD-0055,8,t-1,93.1,
PD-0055,9,t-0,92.1,
PD-0056,0,t-9,96.5,
PD-0056,1,t-8,96.9,
PD-0056,2,t-7,96.6,
PD-0056,3,t-6,67.1,"logged note: one-time platform outage, resolved same day"
PD-0056,4,t-5,96.0,
PD-0056,5,t-4,96.1,
PD-0056,6,t-3,97.0,
PD-0056,7,t-2,97.1,
PD-0056,8,t-1,97.7,
PD-0056,9,t-0,95.4,
PD-0057,0,t-9,95.1,
PD-0057,1,t-8,95.6,
PD-0057,2,t-7,96.0,
PD-0057,3,t-6,98.7,
PD-0057,4,t-5,98.6,
PD-0057,5,t-4,98.6,
PD-0057,6,t-3,97.0,
PD-0057,7,t-2,98.4,
PD-0057,8,t-1,100.0,
PD-0057,9,t-0,100.0,
PD-0058,0,t-9,94.6,
PD-0058,1,t-8,95.9,
PD-0058,2,t-7,96.4,
PD-0058,3,t-6,97.4,
PD-0058,4,t-5,96.9,
PD-0058,5,t-4,99.6,
PD-0058,6,t-3,98.1,
PD-0058,7,t-2,97.8,
PD-0058,8,t-1,100.0,
PD-0058,9,t-0,98.9,
PD-0059,0,t-9,97.3,
PD-0059,1,t-8,96.8,
PD-0059,2,t-7,97.5,
PD-0059,3,t-6,97.4,
PD-0059,4,t-5,99.6,
PD-0059,5,t-4,98.8,
PD-0059,6,t-3,97.5,
PD-0059,7,t-2,99.6,
PD-0059,8,t-1,99.4,
PD-0059,9,t-0,100.0,
PD-0060,0,t-9,95.0,
PD-0060,1,t-8,93.3,
PD-0060,2,t-7,94.2,
PD-0060,3,t-6,92.9,
PD-0060,4,t-5,94.7,
PD-0060,5,t-4,91.5,
PD-0060,6,t-3,90.7,
PD-0060,7,t-2,91.1,
PD-0060,8,t-1,88.3,
PD-0060,9,t-0,87.5,
