ts,service,level,message
2026-03-14T00:14:37Z,orders,INFO,order 13286 invoiced
2026-03-14T00:14:41Z,search,INFO,index segment 70391 merged
2026-03-14T00:14:42Z,checkout,INFO,cart 22839 abandoned after 29ms
2026-03-14T00:14:49Z,billing,INFO,subscription 55442 renewed
2026-03-14T00:14:51Z,auth,INFO,session 44160 refreshed
2026-03-14T00:14:51Z,payments,INFO,refund 47572 completed
2026-03-14T00:15:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:03Z,orders,INFO,order 65966 accepted
2026-03-14T00:15:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:13Z,checkout,INFO,session 23649 started
2026-03-14T00:15:13Z,search,INFO,index segment 29571 merged
2026-03-14T00:15:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:23Z,orders,INFO,inventory check 72073 passed
2026-03-14T00:15:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:29Z,billing,INFO,invoice 89189 rendered in 136ms
2026-03-14T00:15:29Z,postgres,INFO,"checkpoint complete, 31250 buffers written"
2026-03-14T00:15:30Z,billing,INFO,credit note 24790 issued
2026-03-14T00:15:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:32Z,search,INFO,index segment 85506 merged
2026-03-14T00:15:36Z,billing,INFO,invoice 86226 rendered in 34ms
2026-03-14T00:15:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:43Z,billing,INFO,dunning run 19350 complete
2026-03-14T00:15:46Z,payments,INFO,charge 38063 authorised in 7ms
2026-03-14T00:15:48Z,billing,INFO,credit note 15233 issued
2026-03-14T00:15:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:15:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:01Z,search,INFO,query 57238 served in 41ms
2026-03-14T00:16:04Z,payments,INFO,webhook 95203 acknowledged
2026-03-14T00:16:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:07Z,billing,INFO,dunning run 84111 complete
2026-03-14T00:16:07Z,orders,INFO,order 95971 dispatched in 195ms
2026-03-14T00:16:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:14Z,postgres,INFO,replication lag 37ms
2026-03-14T00:16:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:19Z,billing,INFO,invoice 50819 rendered in 247ms
2026-03-14T00:16:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:28Z,checkout,INFO,cart 4277 converted in 258ms
2026-03-14T00:16:29Z,orders,INFO,order 56144 invoiced
2026-03-14T00:16:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:31Z,billing,INFO,invoice 78721 rendered in 205ms
2026-03-14T00:16:35Z,payments,INFO,charge 99835 authorised in 125ms
2026-03-14T00:16:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:38Z,auth,INFO,login succeeded in 66ms
2026-03-14T00:16:39Z,auth,INFO,token issued for session 12833
2026-03-14T00:16:40Z,deploy,INFO,canary 12517 healthy
2026-03-14T00:16:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:48Z,auth,INFO,token issued for session 71801
2026-03-14T00:16:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:16:59Z,postgres,INFO,replication lag 140ms
2026-03-14T00:17:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:03Z,search,INFO,"suggest cache warm, 81067 entries"
2026-03-14T00:17:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:17Z,search,INFO,query 39596 served in 253ms
2026-03-14T00:17:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:25Z,postgres,INFO,"checkpoint complete, 8762 buffers written"
2026-03-14T00:17:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:31Z,auth,INFO,session 49722 refreshed
2026-03-14T00:17:31Z,postgres,INFO,connection 60293 authorised
2026-03-14T00:17:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:48Z,billing,INFO,dunning run 42409 complete
2026-03-14T00:17:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:17:57Z,orders,INFO,order 67827 dispatched in 36ms
2026-03-14T00:17:59Z,checkout,INFO,session 31542 started
2026-03-14T00:18:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:11Z,orders,INFO,order 53775 accepted
2026-03-14T00:18:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:12Z,postgres,INFO,"checkpoint complete, 49419 buffers written"
2026-03-14T00:18:14Z,checkout,INFO,cart 91252 converted in 258ms
2026-03-14T00:18:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:20Z,auth,INFO,session 29029 refreshed
2026-03-14T00:18:21Z,checkout,INFO,session 23968 started
2026-03-14T00:18:22Z,checkout,INFO,cart 3307 converted in 217ms
2026-03-14T00:18:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:33Z,auth,INFO,session 79923 refreshed
2026-03-14T00:18:33Z,checkout,INFO,session 21930 started
2026-03-14T00:18:33Z,payments,INFO,refund 86298 completed
2026-03-14T00:18:35Z,payments,INFO,settlement batch 65213 queued
2026-03-14T00:18:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:36Z,payments,INFO,settlement batch 60551 queued
2026-03-14T00:18:37Z,deploy,INFO,artefact 82307 published
2026-03-14T00:18:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:18:58Z,postgres,INFO,"checkpoint complete, 44236 buffers written"
2026-03-14T00:19:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:02Z,orders,INFO,order 37832 accepted
2026-03-14T00:19:06Z,auth,INFO,logout for session 52934
2026-03-14T00:19:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:08Z,postgres,INFO,"checkpoint complete, 33953 buffers written"
2026-03-14T00:19:09Z,orders,INFO,inventory check 55914 passed
2026-03-14T00:19:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:13Z,checkout,INFO,cart 81269 converted in 29ms
2026-03-14T00:19:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:23Z,payments,INFO,charge 54842 authorised in 256ms
2026-03-14T00:19:23Z,postgres,INFO,"checkpoint complete, 91317 buffers written"
2026-03-14T00:19:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:19:38Z,payments,INFO,refund 35572 completed
2026-03-14T00:19:45Z,checkout,INFO,payment intent 10553 created
2026-03-14T00:20:01Z,billing,INFO,subscription 17945 renewed
2026-03-14T00:20:05Z,postgres,INFO,autovacuum finished on table 51711
2026-03-14T00:20:07Z,checkout,INFO,cart 34359 abandoned after 38ms
2026-03-14T00:20:12Z,search,INFO,query 67025 served in 36ms
2026-03-14T00:20:17Z,checkout,INFO,cart 75120 converted in 181ms
2026-03-14T00:20:23Z,orders,INFO,order 76500 accepted
2026-03-14T00:20:34Z,orders,INFO,order 62683 invoiced
2026-03-14T00:20:42Z,search,INFO,query 24088 served in 5ms
2026-03-14T00:20:45Z,auth,INFO,token issued for session 7153
2026-03-14T00:20:48Z,payments,INFO,webhook 40515 acknowledged
2026-03-14T00:20:48Z,search,INFO,query 68635 served in 62ms
2026-03-14T00:20:56Z,postgres,INFO,connection 74863 authorised
2026-03-14T00:21:00Z,billing,INFO,credit note 64900 issued
2026-03-14T00:21:06Z,payments,INFO,charge 76881 authorised in 218ms
2026-03-14T00:21:11Z,orders,INFO,order 31651 invoiced
2026-03-14T00:21:16Z,auth,INFO,login succeeded in 227ms
2026-03-14T00:21:16Z,auth,INFO,session 42653 refreshed
2026-03-14T00:21:18Z,auth,INFO,logout for session 48249
2026-03-14T00:21:28Z,orders,INFO,inventory check 82644 passed
2026-03-14T00:21:30Z,postgres,INFO,replication lag 95ms
2026-03-14T00:21:40Z,payments,INFO,refund 8887 completed
2026-03-14T00:21:44Z,postgres,INFO,connection 88382 authorised
2026-03-14T00:21:46Z,search,INFO,index segment 75049 merged
2026-03-14T00:21:50Z,billing,INFO,dunning run 97386 complete
2026-03-14T00:21:50Z,postgres,INFO,autovacuum finished on table 39876
2026-03-14T00:21:53Z,search,INFO,query 66348 served in 171ms
2026-03-14T00:21:59Z,payments,INFO,settlement batch 46031 queued
2026-03-14T00:22:23Z,checkout,INFO,session 57017 started
2026-03-14T00:22:28Z,checkout,INFO,session 86223 started
2026-03-14T00:22:36Z,orders,INFO,order 60521 accepted
2026-03-14T00:22:48Z,auth,INFO,session 66282 refreshed
2026-03-14T00:22:51Z,payments,INFO,settlement batch 49396 queued
2026-03-14T00:22:51Z,search,INFO,"suggest cache warm, 60288 entries"
2026-03-14T00:22:54Z,payments,INFO,webhook 33607 acknowledged
2026-03-14T00:23:05Z,orders,INFO,inventory check 91059 passed
2026-03-14T00:23:18Z,orders,INFO,order 99860 invoiced
2026-03-14T00:23:27Z,checkout,INFO,cart 56070 converted in 163ms
2026-03-14T00:23:37Z,payments,INFO,refund 9914 completed
2026-03-14T00:23:45Z,auth,INFO,token issued for session 33943
2026-03-14T00:23:48Z,postgres,INFO,"checkpoint complete, 41293 buffers written"
2026-03-14T00:23:51Z,postgres,INFO,replication lag 175ms
2026-03-14T00:24:07Z,payments,INFO,charge 18325 authorised in 122ms
2026-03-14T00:24:09Z,billing,INFO,credit note 4782 issued
2026-03-14T00:24:19Z,billing,INFO,dunning run 79966 complete
2026-03-14T00:24:22Z,search,INFO,query 98888 served in 273ms
2026-03-14T00:24:43Z,checkout,INFO,payment intent 78398 created
2026-03-14T00:24:47Z,auth,INFO,token issued for session 19447
2026-03-14T00:24:50Z,payments,INFO,charge 22481 authorised in 290ms
2026-03-14T00:25:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:01Z,postgres,INFO,replication lag 274ms
2026-03-14T00:25:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:09Z,payments,INFO,webhook 84708 acknowledged
2026-03-14T00:25:12Z,checkout,INFO,cart 33276 converted in 149ms
2026-03-14T00:25:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:12Z,postgres,INFO,"checkpoint complete, 70286 buffers written"
2026-03-14T00:25:15Z,orders,INFO,order 56261 accepted
2026-03-14T00:25:18Z,billing,INFO,subscription 28255 renewed
2026-03-14T00:25:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:22Z,search,INFO,"suggest cache warm, 37284 entries"
2026-03-14T00:25:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:27Z,search,INFO,"suggest cache warm, 85515 entries"
2026-03-14T00:25:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:33Z,checkout,INFO,session 10644 started
2026-03-14T00:25:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:36Z,payments,INFO,refund 18099 completed
2026-03-14T00:25:37Z,payments,INFO,refund 68723 completed
2026-03-14T00:25:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:47Z,search,INFO,index segment 12834 merged
2026-03-14T00:25:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:25:50Z,billing,INFO,invoice 92375 rendered in 152ms
2026-03-14T00:25:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:06Z,search,INFO,query 75336 served in 96ms
2026-03-14T00:26:11Z,billing,INFO,dunning run 45168 complete
2026-03-14T00:26:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:26Z,payments,INFO,charge 1726 authorised in 290ms
2026-03-14T00:26:29Z,orders,INFO,order 68678 invoiced
2026-03-14T00:26:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:35Z,payments,INFO,webhook 30934 acknowledged
2026-03-14T00:26:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:36Z,search,INFO,query 6447 served in 158ms
2026-03-14T00:26:40Z,search,INFO,query 80768 served in 292ms
2026-03-14T00:26:41Z,orders,INFO,order 16146 accepted
2026-03-14T00:26:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:48Z,auth,INFO,login succeeded in 26ms
2026-03-14T00:26:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:51Z,orders,INFO,order 6779 dispatched in 5ms
2026-03-14T00:26:51Z,orders,INFO,order 94385 dispatched in 46ms
2026-03-14T00:26:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:26:55Z,billing,INFO,credit note 74654 issued
2026-03-14T00:27:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:04Z,auth,INFO,token issued for session 14352
2026-03-14T00:27:05Z,checkout,INFO,cart 43600 converted in 64ms
2026-03-14T00:27:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:10Z,checkout,INFO,payment intent 63295 created
2026-03-14T00:27:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:18Z,billing,INFO,credit note 88291 issued
2026-03-14T00:27:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:18Z,payments,INFO,charge 17923 authorised in 128ms
2026-03-14T00:27:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:30Z,orders,INFO,order 98348 dispatched in 90ms
2026-03-14T00:27:30Z,search,INFO,"suggest cache warm, 14256 entries"
2026-03-14T00:27:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:38Z,auth,INFO,login succeeded in 41ms
2026-03-14T00:27:38Z,search,INFO,index segment 76337 merged
2026-03-14T00:27:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:27:55Z,billing,INFO,credit note 69162 issued
2026-03-14T00:27:55Z,payments,INFO,settlement batch 36781 queued
2026-03-14T00:28:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:07Z,postgres,INFO,"checkpoint complete, 79879 buffers written"
2026-03-14T00:28:09Z,billing,INFO,dunning run 54921 complete
2026-03-14T00:28:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:22Z,auth,INFO,logout for session 98225
2026-03-14T00:28:22Z,postgres,INFO,connection 80184 authorised
2026-03-14T00:28:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:26Z,billing,INFO,dunning run 54438 complete
2026-03-14T00:28:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:38Z,auth,INFO,login succeeded in 17ms
2026-03-14T00:28:42Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:46Z,search,INFO,query 49345 served in 201ms
2026-03-14T00:28:47Z,orders,INFO,inventory check 84801 passed
2026-03-14T00:28:48Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:49Z,orders,INFO,order 1143 dispatched in 233ms
2026-03-14T00:28:54Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:28:56Z,checkout,INFO,payment intent 29516 created
2026-03-14T00:29:00Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:06Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:10Z,payments,INFO,refund 62958 completed
2026-03-14T00:29:12Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:16Z,payments,INFO,settlement batch 26043 queued
2026-03-14T00:29:18Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:21Z,billing,INFO,invoice 77405 rendered in 205ms
2026-03-14T00:29:21Z,postgres,INFO,connection 10919 authorised
2026-03-14T00:29:24Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:30Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:36Z,checkout,ERROR,healthz timeout after 2000ms
2026-03-14T00:29:48Z,orders,INFO,order 57336 invoiced
2026-03-14T00:29:50Z,checkout,INFO,session 52512 started
2026-03-14T00:30:00Z,checkout,INFO,payment intent 38013 created
2026-03-14T00:30:11Z,auth,INFO,session 25227 refreshed
2026-03-14T00:30:22Z,orders,INFO,order 91013 dispatched in 94ms
2026-03-14T00:30:29Z,deploy,INFO,artefact 72140 published
2026-03-14T00:30:35Z,payments,INFO,refund 11100 completed
